Company,Ticker,Earning Time,Earning Score,Starting Week,Earning Date,Market Time,Left-day Open,Right-day Open,Left-day Close,Right-day Close,Left-day High,Right-day High,Left-day Low,Right-day Low,Close diff,Hi-lo diff,Change,Predict,DIFF,True Label
Citigroup,C,"Tue beforemarket",33,2020-01-13,2020-01-14,PREMARKET,74.69,76.29,75.77,76.95,75.84,78.08,74.22,76.07,1.557344595486354,5.200754513608197,NEUTRAL,NEUTRAL,5.200754513608197,BULL
Delta,DAL,"Tue beforemarket",-12,2020-01-13,2020-01-14,PREMARKET,58.62,61.61,59.08,61.03,59.29,61.82,58.62,60.44,3.300609343263372,5.4588877516206225,BULL,NEUTRAL,5.4588877516206225,BULL
U.S. Bank,USB,"Wed beforemarket",44,2020-01-13,2020-01-15,PREMARKET,53.43,52.28,53.33,51.81,53.91,52.61,53.22,51.35,-2.8501781361334966,-1.1461856444945462,BEAR,NEUTRAL,-1.1461856444945462,NEUTRAL
IBM,IBM,"Tue aftermarket",-39,2020-01-20,2020-01-21,AFH,126.33,131.39,127.58,131.91,127.75,133.65,126.14,130.68,3.393948894811105,5.953702235611225,BULL,NEUTRAL,5.953702235611225,BULL
Netflix,NFLX,"Tue aftermarket",-21,2020-01-20,2020-01-21,AFH,340.0,332.55,338.11,326.0,341.0,336.3,332.59,323.6,-3.581674602939877,1.115487537207982,BEAR,NEUTRAL,1.115487537207982,NEUTRAL
United Air,UAL,"Tue aftermarket",31,2020-01-20,2020-01-21,AFH,87.88,86.75,85.79,83.34,88.0,87.57,84.57,83.15,-2.855810700547856,3.5473572188719382,BEAR,NEUTRAL,3.5473572188719382,BULL
5/3 Bank,FITB,"Wed beforemarket",-57,2020-01-20,2020-01-22,PREMARKET,27.51,27.34,27.13,27.43,27.51,27.49,27.13,26.7,1.1057869517139718,1.3269443420567573,NEUTRAL,BEAR,1.3269443420567573,NEUTRAL
Citrix,CTXS,"Wed aftermarket",-11,2020-01-20,2020-01-22,AFH,116.05,121.04,117.17,126.34,117.63,128.37,116.05,120.16,7.8262353844840815,10.616113744075829,BULL,NEUTRAL,10.616113744075829,BULL
JetBlue,JBLU,"Thu beforemarket",-8,2020-01-20,2020-01-23,PREMARKET,19.29,19.85,19.79,21.07,20.11,21.15,19.25,19.76,6.467913087417898,9.870129870129873,BULL,NEUTRAL,9.870129870129873,BULL
Kimberly-Clark,KMB,"Thu beforemarket",-4,2020-01-20,2020-01-23,PREMARKET,138.24,133.68,137.76,138.01,139.13,142.38,137.72,131.95,0.18147502903600454,3.3836770258495408,NEUTRAL,NEUTRAL,3.3836770258495408,BULL
Discover,DFS,"Thu aftermarket",-24,2020-01-20,2020-01-23,AFH,81.32,74.79,82.19,73.03,82.19,75.81,80.67,72.76,-11.144908139676357,-6.0245444403123845,BEAR,NEUTRAL,-6.0245444403123845,BEAR
Southwest,LUV,"Thu beforemarket",-17,2020-01-20,2020-01-23,PREMARKET,53.69,52.8,53.27,55.19,54.07,55.25,53.26,51.65,3.604280082598077,3.7363875328576768,BULL,NEUTRAL,3.7363875328576768,BULL
American Airlines,AAL,"Thu beforemarket",-37,2020-01-20,2020-01-23,PREMARKET,27.41,27.29,27.22,28.69,27.81,28.88,27.2,25.94,5.400440852314481,6.176470588235294,BULL,NEUTRAL,6.176470588235294,BULL
AMEX,AXP,"Fri beforemarket",-6,2020-01-20,2020-01-24,PREMARKET,128.23,133.21,128.34,131.99,128.53,134.94,127.14,130.76,2.8440081034751374,6.134969325153361,BULL,NEUTRAL,6.134969325153361,BULL
Sirius XM,SIRI,"Tue beforemarket",6,2020-02-03,2020-02-04,PREMARKET,7.0,7.12,7.07,7.11,7.1,7.2,6.98,7.04,0.5657708628005631,3.151862464183375,NEUTRAL,NEUTRAL,3.151862464183375,BULL
Pandora Jewelry,PANDY,"Tue beforemarket",-8,2020-02-03,2020-02-04,PREMARKET,12.09,11.92,12.24,12.0,12.34,12.0,12.09,11.86,-1.9607843137254943,-0.7444168734491274,NEUTRAL,NEUTRAL,-0.7444168734491274,NEUTRAL
Royal Caribbean,RCL,"Tue beforemarket",-8,2020-02-03,2020-02-04,PREMARKET,115.22,120.77,115.31,116.84,118.2,120.9,113.14,115.56,1.3268580348625436,6.858759059572206,NEUTRAL,NEUTRAL,6.858759059572206,BULL
Polo,RL,"Tue beforemarket",-10,2020-02-03,2020-02-04,PREMARKET,112.4,122.1,111.51,121.77,112.86,124.99,111.36,118.15,9.200968523002405,12.239583333333325,BULL,NEUTRAL,12.239583333333325,BULL
Clorox,CLX,"Tue beforemarket",-18,2020-02-03,2020-02-04,PREMARKET,152.55,153.64,150.79,158.32,153.71,159.66,149.87,153.35,4.993699847470001,6.532328017615252,BULL,NEUTRAL,6.532328017615252,BULL
Ford,F,"Tue aftermarket",47,2020-02-03,2020-02-04,AFH,9.08,8.41,9.18,8.31,9.24,8.48,9.07,8.26,-9.477124183006524,-6.504961411245869,BEAR,NEUTRAL,-6.504961411245869,BEAR
Allstate,ALL,"Tue aftermarket",37,2020-02-03,2020-02-04,AFH,115.37,116.25,115.17,119.7,116.33,119.96,115.13,116.25,3.933315967699924,4.195257534960484,BULL,NEUTRAL,4.195257534960484,BULL
AFLAC,AFL,"Tue aftermarket",44,2020-02-03,2020-02-04,AFH,50.14,50.28,49.82,50.88,50.44,50.88,49.82,50.06,2.1276595744680993,2.1276595744680993,BULL,NEUTRAL,2.1276595744680993,BULL
Boot Barn,BOOT,"Tue aftermarket",21,2020-02-03,2020-02-04,AFH,42.77,37.33,42.26,38.1,43.15,39.48,41.42,35.18,-9.843823946994789,-4.683727667793347,BEAR,NEUTRAL,-4.683727667793347,BEAR
Snapchat,SNAP,"Tue aftermarket",3,2020-02-03,2020-02-04,AFH,18.48,18.02,18.98,16.19,19.03,18.08,18.23,16.11,-14.699683877766068,-0.8228195282501516,BEAR,NEUTRAL,-0.8228195282501516,NEUTRAL
Chipotle,CMG,"Tue aftermarket",-18,2020-02-03,2020-02-04,AFH,876.01,892.0,884.82,854.01,890.17,893.02,873.64,851.36,-3.482064148640407,2.2183050226638024,BEAR,NEUTRAL,2.2183050226638024,BULL
