Diff Method,Bull indicator[stock%],Bear Indicator[stock%],Bull Threshold[Score],Bear Threshold[Score],Total Accuracy[%],Bull Precision[%],Bull Precision Note,Bear Precision[%],Bear Precision Note,Neutral Precision[%],Neutral Precision Note,Bull Recall[%],Bull Recall Note,Bear Recall[%],Bear Recall Note,Neutral Recall[%],Neutral Recall Note
DiffMethod.CLOSE,0,0,0,0,50.87,44.44,204|459,54.8,411|750,,0|0,37.57,204|543,61.71,411|666,,0|0
DiffMethod.CLOSE,0,0,20,-20,27.05,41.39,101|244,52.93,226|427,0,0|538,18.6,101|543,33.93,226|666,,0|0
DiffMethod.CLOSE,0,0,40,-40,13.4,41.96,47|112,52.27,115|220,0,0|877,8.66,47|543,17.27,115|666,,0|0
DiffMethod.CLOSE,0,0,60,-60,4.88,37.21,16|43,53.75,43|80,0,0|1086,2.95,16|543,6.46,43|666,,0|0
DiffMethod.CLOSE,0,0,80,-80,1.16,50,3|6,55,11|20,0,0|1183,0.55,3|543,1.65,11|666,,0|0
DiffMethod.CLOSE,3,-3,0,0,31.43,28.54,131|459,33.2,249|750,,0|0,38.99,131|336,61.79,249|403,0,0|470
DiffMethod.CLOSE,3,-3,20,-20,34,25.82,63|244,32.08,137|427,39.22,211|538,18.75,63|336,34,137|403,44.89,211|470
DiffMethod.CLOSE,3,-3,40,-40,37.72,24.11,27|112,34.09,75|220,40.36,354|877,8.04,27|336,18.61,75|403,75.32,354|470
DiffMethod.CLOSE,3,-3,60,-60,38.96,25.58,11|43,37.5,30|80,39.59,430|1086,3.27,11|336,7.44,30|403,91.49,430|470
DiffMethod.CLOSE,3,-3,80,-80,39.12,33.33,2|6,35,7|20,39.22,464|1183,0.6,2|336,1.74,7|403,98.72,464|470
DiffMethod.CLOSE,6,-6,0,0,17.87,17.65,81|459,18,135|750,,0|0,38.76,81|209,59.47,135|227,0,0|773
DiffMethod.CLOSE,6,-6,20,-20,38.21,15.57,38|244,18.27,78|427,64.31,346|538,18.18,38|209,34.36,78|227,44.76,346|773
DiffMethod.CLOSE,6,-6,40,-40,53.18,13.39,15|112,22.27,49|220,66.02,579|877,7.18,15|209,21.59,49|227,74.9,579|773
DiffMethod.CLOSE,6,-6,60,-60,60.71,16.28,7|43,26.25,21|80,65.01,706|1086,3.35,7|209,9.25,21|227,91.33,706|773
DiffMethod.CLOSE,6,-6,80,-80,63.44,33.33,2|6,25,5|20,64.24,760|1183,0.96,2|209,2.2,5|227,98.32,760|773
DiffMethod.CLOSE,9,-9,0,0,10.26,11.33,52|459,9.6,72|750,,0|0,40.94,52|127,58.06,72|124,0,0|958
DiffMethod.CLOSE,9,-9,20,-20,40.78,8.61,21|244,10.07,43|427,79.74,429|538,16.54,21|127,34.68,43|124,44.78,429|958
DiffMethod.CLOSE,9,-9,40,-40,60.71,8.04,9|112,10.45,23|220,80.05,702|877,7.09,9|127,18.55,23|124,73.28,702|958
DiffMethod.CLOSE,9,-9,60,-60,73.12,11.63,5|43,12.5,10|80,80.02,869|1086,3.94,5|127,8.06,10|124,90.71,869|958
DiffMethod.CLOSE,9,-9,80,-80,77.83,16.67,1|6,5,1|20,79.37,939|1183,0.79,1|127,0.81,1|124,98.02,939|958
DiffMethod.CLOSE,12,-12,0,0,6.2,7.63,35|459,5.33,40|750,,0|0,40.7,35|86,58.82,40|68,0,0|1055
DiffMethod.CLOSE,12,-12,20,-20,42.02,5.74,14|244,5.62,24|427,87.36,470|538,16.28,14|86,35.29,24|68,44.55,470|1055
DiffMethod.CLOSE,12,-12,40,-40,65.67,6.25,7|112,6.82,15|220,88.03,772|877,8.14,7|86,22.06,15|68,73.18,772|1055
DiffMethod.CLOSE,12,-12,60,-60,79.74,6.98,3|43,8.75,7|80,87.85,954|1086,3.49,3|86,10.29,7|68,90.43,954|1055
DiffMethod.CLOSE,12,-12,80,-80,85.61,0,0|6,5,1|20,87.4,1034|1183,0,0|86,1.47,1|68,98.01,1034|1055
